"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.287889074E0,-1.235830784E-1,3.776641488E-1,-3.078489304E-1,5.026668385E-1
1.306450324E0,-8.486843109E-2,3.335473537E-1,-3.153743744E-1,4.668163277E-1
1.325011574E0,-1.120341420E-1,1.839079261E-1,-2.951450348E-1,3.653551229E-1
1.343620585E0,7.457125187E-2,3.625655174E-2,-1.049747467E-1,1.337725928E-1
1.362181835E0,5.864561796E-1,-1.604177356E-1,3.871669769E-1,7.208071646E-1
1.380743085E0,6.563422084E-1,-4.128574729E-1,6.945724487E-1,1.040993407E0
1.399256626E0,5.797195435E-2,-6.436066628E-1,1.090398788E0,1.267501401E0
1.417817876E0,-5.800712109E-1,-7.299028635E-1,1.042897224E0,1.398883634E0
1.436426887E0,-8.047894239E-1,-5.976536274E-1,5.007963181E-1,1.120568082E0
1.454989283E0,-4.253249764E-1,-3.636483848E-1,-2.740907669E-1,6.231109306E-1
1.473501678E0,-2.347201109E-2,-1.270609498E-1,-1.086931229E0,1.094584358E0
1.492062928E0,1.056745052E-1,1.092873216E-1,-1.296105385E0,1.304990417E0
1.510672199E0,7.194870710E-2,1.518042684E-1,-8.519973755E-1,8.684012207E-1
1.529203449E0,-1.972784996E-1,-1.516231894E-1,1.370000839E-1,2.840377105E-1
1.547764699E0,-6.312277913E-1,-2.389075756E-1,5.893278122E-1,8.960092770E-1
1.566307980E0,-1.050478339E0,-2.348131537E-1,-9.890747070E-2,1.080936930E0
1.584869230E0,-1.196210623E0,3.540375233E-1,-6.757526398E-1,1.418768498E0
1.603478293E0,4.856553674E-1,-3.789475560E-1,-6.403808594E-1,8.885662784E-1
1.622039543E0,4.771468043E-1,-1.405877471E-1,-3.828048706E-1,6.276731287E-1
1.640600793E0,4.338216782E-2,2.495473623E-2,-6.554498672E-1,6.573578020E-1
1.659114283E0,-2.487546206E-1,-1.525050402E-2,-7.066669464E-1,7.493261054E-1
1.677675585E0,-3.599290550E-1,-4.029682279E-2,-6.323823929E-1,7.287525296E-1
1.696284595E0,-4.034557939E-1,-9.130981565E-2,-2.514228821E-1,4.840738845E-1
1.714845845E0,-6.476634741E-1,-1.428368390E-1,7.513237000E-2,6.674692587E-1
1.733359387E0,-1.068963766E0,-5.930075049E-2,2.895383835E-1,1.109068342E0
1.751920637E0,-1.078194857E0,1.158422232E-1,3.175239563E-1,1.129931428E0
1.770481887E0,-9.102725983E-1,3.178334534E-1,2.947626114E-1,1.008215902E0
1.789043137E0,-6.729648709E-1,3.181968331E-1,5.646133423E-2,7.465378921E-1
1.807622408E0,-4.220995307E-1,3.480136991E-1,-4.119777679E-2,5.486153528E-1
1.826165689E0,-5.428193808E-1,4.398807287E-1,1.118001938E-1,7.075642861E-1
1.844726939E0,-8.995284438E-1,4.804136455E-1,4.591293335E-1,1.118368650E0
1.863335949E0,-1.092146873E0,6.498541832E-1,8.907299042E-1,1.551932671E0
1.881897199E0,-9.330554008E-1,6.693218946E-1,6.987113953E-1,1.344165836E0
1.900458501E0,-9.883646965E-1,6.119720936E-1,1.583423615E-1,1.173220747E0
1.918971991E0,-9.539917111E-1,6.749153733E-1,-8.388519287E-2,1.171600474E0
1.937533241E0,-8.199992776E-1,8.164724708E-1,2.281379700E-2,1.157387826E0
1.956143345E0,-8.164021373E-1,7.402781844E-1,2.483987808E-1,1.129701817E0
1.974703762E0,-1.137873769E0,6.494085789E-1,3.611335754E-1,1.359009078E0
1.993217043E0,-1.190919876E0,6.189146638E-1,1.611480713E-1,1.351781866E0
2.011778293E0,-1.056387424E0,6.625729203E-1,-4.736328125E-2,1.247878418E0
2.030387564E0,-9.469694495E-1,7.083019018E-1,-2.283992767E-1,1.204412285E0
2.048948553E0,-6.790565848E-1,7.489039302E-1,-2.348556519E-1,1.037849758E0
2.067473397E0,-5.138985515E-1,8.337988853E-1,-3.139495850E-3,9.794499267E-1
2.086023345E0,-6.045869589E-1,8.138610721E-1,5.700111389E-2,1.015452787E0
2.104584647E0,-9.058043957E-1,5.591968894E-1,2.643127441E-1,1.096833620E0
2.123163866E0,-1.054983974E0,2.832940221E-1,4.524393082E-1,1.182348517E0
2.141725116E0,-6.697300673E-1,-1.372963786E-1,3.741989136E-1,7.793673623E-1
2.160286418E0,-3.215418458E-1,-3.039789200E-1,6.001586914E-1,7.456425399E-1
2.178829699E0,-1.173385158E-1,-2.503515184E-1,1.239115715E0,1.269587321E0
2.197390949E0,6.539739668E-2,-3.411753178E-1,1.342299461E0,1.386522723E0
2.216001105E0,-2.970215976E-1,-2.111936063E-1,9.330911636E-1,1.001740330E0
2.234562355E0,-6.439665556E-1,5.262583494E-2,-9.537696838E-2,6.531149740E-1
2.253061835E0,-5.187758803E-1,2.272812426E-1,-1.374910355E0,1.486998205E0
2.271636001E0,-2.831739783E-1,4.032842219E-1,-2.019179821E0,2.078439996E0
2.290245012E0,-6.443904340E-2,5.583915710E-1,-1.962085724E0,2.041012965E0
2.308806262E0,1.455044895E-1,3.644711673E-1,-1.486527443E0,1.537457195E0
2.327367564E0,3.042548597E-1,1.302030385E-1,-7.565746307E-1,8.257899386E-1
2.345881053E0,2.629665434E-1,7.369962335E-2,-1.338758469E-1,3.041476283E-1
2.364442355E0,3.180692792E-1,3.629629910E-1,4.128561020E-1,6.351065739E-1
2.383052408E0,6.751938462E-1,6.497337818E-1,6.759443283E-1,1.155396664E0
2.401613658E0,8.932297230E-1,8.768774271E-1,6.344175339E-1,1.403302878E0
2.420173866E0,5.596110225E-1,1.027923226E0,-5.201911926E-2,1.171536019E0
2.438687355E0,1.066099107E-1,1.163407803E0,-9.675617218E-1,1.516924215E0
